doi,oa_type,is_oa,title,published_date,published_year,genre,journal_is_in_doaj,journal_issns,journal_name,publisher,repositories,scientific_field
10.1103/physrevd.94.123520,repository,True,Cosmological future singularities in interacting dark energy models,2016-12-21,2016.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.1186/s13068-016-0681-0,publisher;repository,True,Hydrogen production by the hyperthermophilic bacterium Thermotoga maritima Part II: modeling and experimental approaches for hydrogen production,2016-12-01,2016.0,journal-article,True,1754-6834,Biotechnology for Biofuels,Springer Science and Business Media LLC,europepmc.org;www.ncbi.nlm.nih.gov,"Earth, Ecology, 
Energy and applied biology"
10.1186/s13068-016-0678-8,publisher;repository,True,"Hydrogen production by the hyperthermophilic bacterium Thermotoga maritima part I: effects of sulfured nutriments, with thiosulfate as model, on hydrogen production and growth",2016-12-01,2016.0,journal-article,True,1754-6834,Biotechnology for Biofuels,Springer Science and Business Media LLC,europepmc.org;www.ncbi.nlm.nih.gov,"Earth, Ecology, 
Energy and applied biology"
10.1186/s13640-016-0149-y,publisher;repository,True,Line and circle detection using dense one-to-one Hough transforms on greyscale images,2016-12-01,2016.0,journal-article,True,1687-5281,EURASIP Journal on Image and Video Processing,Springer Science and Business Media LLC,HAL,"Computer and 
 information sciences"
10.1088/1751-8113/49/49/495202,repository,True,Stark resonances in a quantum waveguide with analytic curvature,2016-11-16,2016.0,journal-article,False,"1751-8113,1751-8121",Journal of Physics A: Mathematical and Theoretical,IOP Publishing,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1021/acs.est.6b04344,repository,True,Organophosphate Ester Flame Retardants and Plasticizers in the Global Oceanic Atmosphere,2016-11-10,2016.0,journal-article,False,"0013-936X,1520-5851",Environmental Science & Technology,American Chemical Society (ACS),HAL,"Earth, Ecology, 
Energy and applied biology"
10.1186/s12944-016-0375-4,publisher;repository,True,Enhanced lipid and biomass production by a newly isolated and identified marine microalga,2016-12-01,2016.0,journal-article,True,1476-511X,Lipids in Health and Disease,Springer Science and Business Media LLC,europepmc.org;www.ncbi.nlm.nih.gov;www.repo.uni-hannover.de,Biology (fond.)
10.1017/s0022377816001161,repository,True,Lifting of the Vlasov–Maxwell bracket by Lie-transform method,2016-12-01,2016.0,journal-article,False,"0022-3778,1469-7807",Journal of Plasma Physics,Cambridge University Press (CUP),arxiv.org,"Physical sciences, Astronomy"
10.1017/s0022377816000921,repository,True,Reduced models accounting for parallel magnetic perturbations: gyrofluid and finite Larmor radius–Landau fluid approaches,2016-11-01,2016.0,journal-article,False,"0022-3778,1469-7807",Journal of Plasma Physics,Cambridge University Press (CUP),HAL,"Physical sciences, Astronomy"
10.1093/mnras/stw2243,repository,True,Improving the modelling of redshift-space distortions– II. A pairwise velocity model covering large and small scales,2016-09-07,2016.0,journal-article,False,"0035-8711,1365-2966",Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),arxiv.org;researchportal.port.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1111/1462-2920.13324,publisher;repository,True,Impact of an intense water column mixing (0-1500 m) on prokaryotic diversity and activities during an open-ocean convection event in the NW Mediterranean Sea,2016-06-02,2016.0,journal-article,False,1462-2912,Environmental Microbiology,Wiley,HAL,Biology (fond.)
10.1175/jpo-d-15-0141.1,publisher;repository,True,Surface Roughness Changes by Finescale Current Gradients: Properties at Multiple Azimuth View Angles,2016-12-01,2016.0,journal-article,False,"0022-3670,1520-0485",Journal of Physical Oceanography,American Meteorological Society,archimer.ifremer.fr,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.calphad.2016.09.008,closed,False,Measurement of the heat capacity of ZnSb by DSC between 300 and 673 K,2016-12-01,2016.0,journal-article,False,0364-5916,Calphad,Elsevier BV,,"Physical sciences, Astronomy"
10.5670/oceanog.2016.94,publisher;repository,True,HyMeX-SOP2: The Field Campaign Dedicated to Dense Water Formation in the Northwestern Mediterranean,2016-12-01,2016.0,journal-article,True,,Oceanography,The Oceanography Society,archimer.ifremer.fr;nora.nerc.ac.uk,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.apor.2016.10.001,closed,False,On the dispersion equation for linear waves traveling through or over dense arrays of vertical cylinders,2016-12-01,2016.0,journal-article,False,0141-1187,Applied Ocean Research,Elsevier BV,,"Physical sciences, Astronomy"
10.1016/j.wpi.2016.10.001,closed,False,A new patent processing suite for academic and research purposes,2016-12-01,2016.0,journal-article,False,0172-2190,World Patent Information,Elsevier BV,,"Computer and 
 information sciences"
10.4187/respcare.04821,publisher,True,"The 1-Minute Sit-to-Stand Test in Adults With Cystic Fibrosis: Correlations With Cardiopulmonary Exercise Test, 6-Minute Walk Test, and Quadriceps Strength",2016-11-15,2016.0,journal-article,False,"0020-1324,1943-3654",Respiratory Care,Daedalus Enterprises,,Medical research
10.1016/j.chaos.2016.10.006,repository,True,Flux through a Markov chain,2016-12-01,2016.0,journal-article,False,0960-0779,"Chaos, Solitons & Fractals",Elsevier BV,HAL,Mathematics
10.1007/s10584-016-1801-3,closed,False,Impacts of climate change on Tunisian olive oil output,2016-09-14,2016.0,journal-article,False,"0165-0009,1573-1480",Climatic Change,Springer Science and Business Media LLC,,Biology (fond.)
10.1016/j.vacuum.2016.10.005,closed,False,Influence of the substrate on the structure stability LaLuO 3 thin films deposited by PLD method,2016-12-01,2016.0,journal-article,False,0042-207X,Vacuum,Elsevier BV,,"Physical sciences, Astronomy"
10.1007/s10825-016-0883-5,closed,False,On the local approximation of the electron–photon interaction self-energy,2016-08-19,2016.0,journal-article,False,"1569-8025,1572-8137",Journal of Computational Electronics,Springer Science and Business Media LLC,,"Physical sciences, Astronomy"
10.1063/1.4972092,repository,True,Study on the creation and destruction of transport barriers via the effective safety factors for energetic particles,2016-12-01,2016.0,journal-article,False,"1070-664X,1089-7674",Physics of Plasmas,AIP Publishing,arxiv.org,"Physical sciences, Astronomy"
10.1016/j.scispo.2016.08.002,closed,False,Perceived exertion responses and performance of two mode of propulsion in the multistage field test with wheelchair basketball players,2016-12-01,2016.0,journal-article,False,0765-1597,Science & Sports,Elsevier BV,,Medical research
10.3917/sta.111.0097,closed,False,Les valeurs des jeunes boxeurs au crible du modèle de Schwartz,2016-01-01,2016.0,journal-article,False,"0247-106X,1782-1568",Staps,CAIRN,,Biology (fond.)
10.1016/j.commatsci.2016.08.041,closed,False,"Austenite growth and stability in medium Mn, medium Al Fe-C-Mn-Al steels",2016-12-01,2016.0,journal-article,False,0927-0256,Computational Materials Science,Elsevier BV,,Engineering
10.1007/s00205-016-1026-7,repository,True,On Properties of the Generalized Wasserstein Distance,2016-07-08,2016.0,journal-article,False,"0003-9527,1432-0673",Archive for Rational Mechanics and Analysis,Springer Science and Business Media LLC,HAL;arxiv.org,Mathematics
10.1098/rsta.2016.0035,publisher;repository,True,Hydrothermal impacts on trace element and isotope ocean biogeochemistry,2016-11-28,2016.0,journal-article,False,"1364-503X,1471-2962","Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",The Royal Society,HAL;darchive.mblwhoilibrary.org;epic.awi.de;eprints.soton.ac.uk;europepmc.org;www.ncbi.nlm.nih.gov,"Earth, Ecology, 
Energy and applied biology"
10.1016/j.jclepro.2016.07.122,closed,False,A method for identifying and quantifying Usage EcoDrifts,2016-11-01,2016.0,journal-article,False,0959-6526,Journal of Cleaner Production,Elsevier BV,,Biology (fond.)
10.1109/tsp.2016.2600511,repository,True,A Unifying Approach for Disturbance Cancellation and Target Detection in Passive Radar Using OFDM,2016-11-15,2016.0,journal-article,False,"1053-587X,1941-0476",IEEE Transactions on Signal Processing,Institute of Electrical and Electronics Engineers (IEEE),HAL,"Computer and 
 information sciences"
10.1016/j.cej.2016.06.062,closed,False,Nickel retention by an ion-imprinted polymer: Wide-range selectivity study and modelling of the binding structures,2016-11-01,2016.0,journal-article,False,1385-8947,Chemical Engineering Journal,Elsevier BV,,Chemistry
10.1186/s12879-016-2003-3,publisher;repository,True,Recalibrating disease parameters for increasing realism in modeling epidemics in closed settings,2016-11-14,2016.0,journal-article,True,1471-2334,BMC Infectious Diseases,Springer Science and Business Media LLC,HAL;europepmc.org;www.ncbi.nlm.nih.gov;zenodo.org,Medical research
10.1103/physrevb.94.205416,repository,True,Mixed electrical-heat noise spectrum in a quantum dot,2016-11-11,2016.0,journal-article,False,"2469-9950,2469-9969",Physical Review B,American Physical Society (APS),HAL;arxiv.org,"Physical sciences, Astronomy"
10.1103/physrevd.94.104032,publisher;repository,True,Hypersurface-deformation algebroids and effective spacetime models,2016-11-11,2016.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.1103/physrevd.94.103511,repository,True,Power law cosmology model comparison with CMB scale information,2016-11-11,2016.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),HAL;arxiv.org,"Physical sciences, Astronomy"
10.1016/j.ecss.2016.08.049,closed,False,"The fate of Cystoseira crinita , a forest-forming Fucale (Phaeophyceae, Stramenopiles), in France (North Western Mediterranean Sea)",2016-11-01,2016.0,journal-article,False,0272-7714,"Estuarine, Coastal and Shelf Science",Elsevier BV,,Biology (fond.)
10.1103/physrevd.94.104002,repository,True,Volume inside old black holes,2016-11-02,2016.0,journal-article,False,"2470-0010,2470-0029",Physical Review D,American Physical Society (APS),arxiv.org,"Physical sciences, Astronomy"
10.1134/s0001434616110092,closed,False,Semiclassical resonances associated with a periodic orbit,2016-11-01,2016.0,journal-article,False,"0001-4346,1573-8876",Mathematical Notes,Pleiades Publishing Ltd,,"Physical sciences, Astronomy"
10.1016/j.nuclphysb.2016.07.016,publisher;repository,True,A note on Weyl invariance in gravity and the Wess–Zumino functional,2016-11-01,2016.0,journal-article,True,0550-3213,Nuclear Physics B,Elsevier BV,arxiv.org,"Physical sciences, Astronomy"
10.1016/j.nuclphysb.2016.04.031,publisher;repository,True,"On the Bargmann–Michel–Telegdi equations, and spin–orbit coupling: A tribute to Raymond Stora",2016-11-01,2016.0,journal-article,True,0550-3213,Nuclear Physics B,Elsevier BV,HAL;arxiv.org,"Physical sciences, Astronomy"
10.1007/s11069-016-2419-5,closed,False,Effect of vorticity on the generation of rogue waves due to dispersive focusing,2016-06-29,2016.0,journal-article,False,"0921-030X,1573-0840",Natural Hazards,Springer Science and Business Media LLC,,"Physical sciences, Astronomy"
10.1007/s10584-016-1784-0,closed,False,The direct and indirect effect of climate change on citrus production in Tunisia: a macro and micro spatial analysis,2016-09-13,2016.0,journal-article,False,"0165-0009,1573-1480",Climatic Change,Springer Science and Business Media LLC,,Biology (fond.)
10.1111/psyp.12732,closed,False,Does intrinsic motivation enhance motor cortex excitability?,2016-08-01,2016.0,journal-article,False,0048-5772,Psychophysiology,Wiley,,Medical research
