PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27183120","Effects of Footwear and Fatigue on Running Economy and Biomechanics in Trail Runners","Vercruyssen F, Tartaruga M, Horvais N, Brisswalter J.","Med Sci Sports Exerc. 2016 Oct;48(10):1976-84. doi: 10.1249/MSS.0000000000000981.","Vercruyssen F","Med Sci Sports Exerc","2016","2016/05/17","","","10.1249/MSS.0000000000000981"
"27899540","The 1-Minute Sit-to-Stand Test in Adults With Cystic Fibrosis: Correlations With Cardiopulmonary Exercise Test, 6-Minute Walk Test, and Quadriceps Strength","Gruet M, Peyré-Tartaruga LA, Mely L, Vallier JM.","Respir Care. 2016 Dec;61(12):1620-1628. doi: 10.4187/respcare.04821. Epub 2016 Nov 15.","Gruet M","Respir Care","2016","2016/12/01","","","10.4187/respcare.04821"
"26915664","Timing paradox of stepping and falls in ageing: not so quick and quick(er) on the trigger","Rogers MW, Mille ML.","J Physiol. 2016 Aug 15;594(16):4537-47. doi: 10.1113/JP271167. Epub 2016 Apr 6.","Rogers MW","J Physiol","2016","2016/02/27","PMC4983630","","10.1113/JP271167"
"26567907","Colonization and release processes of viruses and prokaryotes on artificial marine macroaggregates","Bettarel Y, Motegi C, Weinbauer MG, Mari X.","FEMS Microbiol Lett. 2016 Jan;363(1):fnv216. doi: 10.1093/femsle/fnv216. Epub 2015 Nov 13.","Bettarel Y","FEMS Microbiol Lett","2016","2015/11/17","","","10.1093/femsle/fnv216"
"27440765","Adaptability and Prediction of Anticipatory Muscular Activity Parameters to Different Movements in the Sitting Position","Chikh S, Watelain E, Faupin A, Pinti A, Jarraya M, Garnier C.","Percept Mot Skills. 2016 Aug;123(1):190-231. doi: 10.1177/0031512516656817. Epub 2016 Jul 20.","Chikh S","Percept Mot Skills","2016","2016/07/22","","","10.1177/0031512516656817"
"26992328","Paradoxical effects of temperature and solar irradiance on the photodegradation state of killed phytoplankton","Amiraux R, Jeanthon C, Vaultier F, Rontani JF.","J Phycol. 2016 Jun;52(3):475-85. doi: 10.1111/jpy.12410. Epub 2016 May 10.","Amiraux R","J Phycol","2016","2016/03/20","","","10.1111/jpy.12410"
"27573052","Bioenergetics, Trophic Ecology, and Niche Separation of Tunas","Olson RJ, Young JW, Ménard F, Potier M, Allain V, Goñi N, Logan JM, Galván-Magaña F.","Adv Mar Biol. 2016;74:199-344. doi: 10.1016/bs.amb.2016.06.002. Epub 2016 Aug 5.","Olson RJ","Adv Mar Biol","2016","2016/08/31","","","10.1016/bs.amb.2016.06.002"
"25991710","Prevention and treatment of decompression sickness using training and in-water recompression among fisherman divers in Vietnam","Blatteau JE, Pontier JM, Buzzacott P, Lambrechts K, Nguyen VM, Cavenel P, Ruffez J.","Inj Prev. 2016 Feb;22(1):25-32. doi: 10.1136/injuryprev-2014-041464. Epub 2015 May 19.","Blatteau JE","Inj Prev","2016","2015/05/21","","","10.1136/injuryprev-2014-041464"
"25772882","Analysis of a population of magnetotactic bacteria of the Gulf of Gabès, Tunisia","Pradel N, Cayol JL, Fardeau ML, Karray F, Sayadi S, Alazard D, Ollivier B.","Environ Sci Pollut Res Int. 2016 Mar;23(5):4046-53. doi: 10.1007/s11356-015-4314-0. Epub 2015 Mar 14.","Pradel N","Environ Sci Pollut Res Int","2016","2015/03/17","","","10.1007/s11356-015-4314-0"
"27032072","Chemical multi-contamination drives benthic prokaryotic diversity in the anthropized Toulon Bay","Misson B, Garnier C, Lauga B, Dang DH, Ghiglione JF, Mullot JU, Duran R, Pringault O.","Sci Total Environ. 2016 Jun 15;556:319-29. doi: 10.1016/j.scitotenv.2016.02.038. Epub 2016 Mar 28.","Misson B","Sci Total Environ","2016","2016/04/01","","","10.1016/j.scitotenv.2016.02.038"
