PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31345179","Short- and long-term impact of adapted physical activity and diet counseling during adjuvant breast cancer therapy: the ""APAD1"" randomized controlled trial","Carayol M, Ninot G, Senesse P, Bleuse JP, Gourgou S, Sancho-Garnier H, Sari C, Romieu I, Romieu G, Jacot W.","BMC Cancer. 2019 Jul 25;19(1):737. doi: 10.1186/s12885-019-5896-6.","Carayol M","BMC Cancer","2019","2019/07/27","PMC6659309","","10.1186/s12885-019-5896-6"
"31285584","Global phylogeography and ancient evolution of the widespread human gut virus crAssphage","Edwards RA, Vega AA, Norman HM, Ohaeri M, Levi K, Dinsdale EA, Cinek O, Aziz RK, McNair K, Barr JJ, Bibby K, Brouns SJJ, Cazares A, de Jonge PA, Desnues C, Díaz Muñoz SL, Fineran PC, Kurilshikov A, Lavigne R, Mazankova K, McCarthy DT, Nobrega FL, Reyes Muñoz A, Tapia G, Trefault N, Tyakht AV, Vinuesa P, Wagemans J, Zhernakova A, Aarestrup FM, Ahmadov G, Alassaf A, Anton J, Asangba A, Billings EK, Cantu VA, Carlton JM, Cazares D, Cho GS, Condeff T, Cortés P, Cranfield M, Cuevas DA, De la Iglesia R, Decewicz P, Doane MP, Dominy NJ, Dziewit L, Elwasila BM, Eren AM, Franz C, Fu J, Garcia-Aljaro C, Ghedin E, Gulino KM, Haggerty JM, Head SR, Hendriksen RS, Hill C, Hyöty H, Ilina EN, Irwin MT, Jeffries TC, Jofre J, Junge RE, Kelley ST, Khan Mirzaei M, Kowalewski M, Kumaresan D, Leigh SR, Lipson D, Lisitsyna ES, Llagostera M, Maritz JM, Marr LC, McCann A, Molshanski-Mor S, Monteiro S, Moreira-Grez B, Morris M, Mugisha L, Muniesa M, Neve H, Nguyen NP, Nigro OD, Nilsson AS, O'Connell T, Odeh R, Oliver A, Piuri M, Prussin Ii AJ, Qimron U, Quan ZX, Rainetova P, Ramírez-Rojas A, Raya R, Reasor K, Rice GAO, Rossi A, Santos R, et al.","Nat Microbiol. 2019 Oct;4(10):1727-1736. doi: 10.1038/s41564-019-0494-6. Epub 2019 Jul 8.","Edwards RA","Nat Microbiol","2019","2019/07/10","PMC7440971","NIHMS1595144","10.1038/s41564-019-0494-6"
"30635378","Diversity, Dynamics, and Distribution of Bdellovibrio and Like Organisms in Perialpine Lakes","Paix B, Ezzedine JA, Jacquet S.","Appl Environ Microbiol. 2019 Mar 6;85(6):e02494-18. doi: 10.1128/AEM.02494-18. Print 2019 Mar 15.","Paix B","Appl Environ Microbiol","2019","2019/01/13","PMC6414362","","10.1128/AEM.02494-18"
"31171784","Simplicial models of social contagion","Iacopini I, Petri G, Barrat A, Latora V.","Nat Commun. 2019 Jun 6;10(1):2485. doi: 10.1038/s41467-019-10431-6.","Iacopini I","Nat Commun","2019","2019/06/08","PMC6554271","","10.1038/s41467-019-10431-6"
"31503394","The global distribution and evolutionary history of the pT26-2 archaeal plasmid family","Badel C, Erauso G, Gomez AL, Catchpole R, Gonnet M, Oberto J, Forterre P, Da Cunha V.","Environ Microbiol. 2019 Dec;21(12):4685-4705. doi: 10.1111/1462-2920.14800. Epub 2019 Oct 21.","Badel C","Environ Microbiol","2019","2019/09/11","PMC6972569","","10.1111/1462-2920.14800"
"31350054","Towards Integrating Evolution, Metabolism, and Climate Change Studies of Marine Ecosystems","Baltar F, Bayer B, Bednarsek N, Deppeler S, Escribano R, Gonzalez CE, Hansman RL, Mishra RK, Moran MA, Repeta DJ, Robinson C, Sintes E, Tamburini C, Valentin LE, Herndl GJ.","Trends Ecol Evol. 2019 Nov;34(11):1022-1033. doi: 10.1016/j.tree.2019.07.003. Epub 2019 Jul 24.","Baltar F","Trends Ecol Evol","2019","2019/07/28","","","10.1016/j.tree.2019.07.003"
"30808163","Triangular Regulation of Cucurbit[8]uril 1:1 Complexes","Combes S, Tran KT, Ayhan MM, Karoui H, Rockenbauer A, Tonetto A, Monnier V, Charles L, Rosas R, Viel S, Siri D, Tordo P, Clair S, Wang R, Bardelang D, Ouari O.","J Am Chem Soc. 2019 Apr 10;141(14):5897-5907. doi: 10.1021/jacs.9b00150. Epub 2019 Mar 13.","Combes S","J Am Chem Soc","2019","2019/02/28","","","10.1021/jacs.9b00150"
"31445450","Biotic and abiotic degradation of Δ(5)-sterols in senescent Mediterranean marine and terrestrial angiosperms","Rontani JF.","Phytochemistry. 2019 Nov;167:112097. doi: 10.1016/j.phytochem.2019.112097. Epub 2019 Aug 21.","Rontani JF","Phytochemistry","2019","2019/08/25","","","10.1016/j.phytochem.2019.112097"
"31203632","Si Doping of Vapor-Liquid-Solid GaAs Nanowires: n-Type or p-Type?","Hijazi H, Monier G, Gil E, Trassoudaine A, Bougerol C, Leroux C, Castellucci D, Robert-Goumet C, Hoggan PE, André Y, Isik Goktas N, LaPierre RR, Dubrovskii VG.","Nano Lett. 2019 Jul 10;19(7):4498-4504. doi: 10.1021/acs.nanolett.9b01308. Epub 2019 Jun 20.","Hijazi H","Nano Lett","2019","2019/06/18","","","10.1021/acs.nanolett.9b01308"
"31822679","Templated dewetting of single-crystal sub-millimeter-long nanowires and on-chip silicon circuits","Bollani M, Salvalaglio M, Benali A, Bouabdellaoui M, Naffouti M, Lodari M, Corato SD, Fedorov A, Voigt A, Fraj I, Favre L, Claude JB, Grosso D, Nicotra G, Mio A, Ronda A, Berbezier I, Abbarchi M.","Nat Commun. 2019 Dec 10;10(1):5632. doi: 10.1038/s41467-019-13371-3.","Bollani M","Nat Commun","2019","2019/12/12","PMC6904683","","10.1038/s41467-019-13371-3"
"31831812","Repolarization of Ferroelectric Superlattices BaZrO(3)/BaTiO(3)","Sidorkin AS, Nesterenko LP, Gagou Y, Saint-Gregoire P, Vorotnikov EV, Pakhomov AY, Popravko NG.","Sci Rep. 2019 Dec 12;9(1):18948. doi: 10.1038/s41598-019-55475-2.","Sidorkin AS","Sci Rep","2019","2019/12/14","PMC6908576","","10.1038/s41598-019-55475-2"
"31627385","Study of Annealed Aquivion(®) Ionomers with the INCA Method †","Giancola S, Arciniegas RAB, Fahs A, Chailan JF, Di Vona ML, Knauth P, Narducci R.","Membranes (Basel). 2019 Oct 17;9(10):134. doi: 10.3390/membranes9100134.","Giancola S","Membranes (Basel)","2019","2019/10/20","PMC6835819","","10.3390/membranes9100134"
"31489372","Biogeochemical controls of surface ocean phosphate","Martiny AC, Lomas MW, Fu W, Boyd PW, Chen YL, Cutter GA, Ellwood MJ, Furuya K, Hashihama F, Kanda J, Karl DM, Kodama T, Li QP, Ma J, Moutin T, Woodward EMS, Moore JK.","Sci Adv. 2019 Aug 28;5(8):eaax0341. doi: 10.1126/sciadv.aax0341. eCollection 2019 Aug.","Martiny AC","Sci Adv","2019","2019/09/07","PMC6713502","","10.1126/sciadv.aax0341"
"31489364","Reframing the carbon cycle of the subpolar Southern Ocean","MacGilchrist GA, Naveira Garabato AC, Brown PJ, Jullion L, Bacon S, Bakker DCE, Hoppema M, Meredith MP, Torres-Valdés S.","Sci Adv. 2019 Aug 28;5(8):eaav6410. doi: 10.1126/sciadv.aav6410. eCollection 2019 Aug.","MacGilchrist GA","Sci Adv","2019","2019/09/07","PMC6713492","","10.1126/sciadv.aav6410"
"31629881","Methodology and reliability of respiratory muscle assessment","Larribaut J, Gruet M, McNarry MA, Mackintosh KA, Verges S.","Respir Physiol Neurobiol. 2020 Feb;273:103321. doi: 10.1016/j.resp.2019.103321. Epub 2019 Oct 17.","Larribaut J","Respir Physiol Neurobiol","2020","2019/10/21","","","10.1016/j.resp.2019.103321"
"31537881","Seasonality of riverine macroplastic transport","van Emmerik T, Strady E, Kieu-Le TC, Nguyen L, Gratiot N.","Sci Rep. 2019 Sep 19;9(1):13549. doi: 10.1038/s41598-019-50096-1.","van Emmerik T","Sci Rep","2019","2019/09/21","PMC6753078","","10.1038/s41598-019-50096-1"
"30886606","Bacterial Bioluminescence: Light Emission in Photobacterium phosphoreum Is Not Under Quorum-Sensing Control","Tanet L, Tamburini C, Baumas C, Garel M, Simon G, Casalot L.","Front Microbiol. 2019 Mar 4;10:365. doi: 10.3389/fmicb.2019.00365. eCollection 2019.","Tanet L","Front Microbiol","2019","2019/03/20","PMC6409340","","10.3389/fmicb.2019.00365"
"31885069","Anthropogenic mercury contamination in sediments of Krka River estuary (Croatia)","Cukrov N, Doumandji N, Garnier C, Tucaković I, Dang DH, Omanović D, Cukrov N.","Environ Sci Pollut Res Int. 2020 Mar;27(7):7628-7638. doi: 10.1007/s11356-019-07475-y. Epub 2019 Dec 29.","Cukrov N","Environ Sci Pollut Res Int","2020","2019/12/31","","","10.1007/s11356-019-07475-y"
"32063666","Drivers of Carbon Export Efficiency in the Global Ocean","Henson S, Le Moigne F, Giering S.","Global Biogeochem Cycles. 2019 Jul;33(7):891-903. doi: 10.1029/2018GB006158. Epub 2019 Jul 22.","Henson S","Global Biogeochem Cycles","2019","2020/02/18","PMC7006809","","10.1029/2018GB006158"
"30833550","Microbial abundance, activity and population genomic profiling with mOTUs2","Milanese A, Mende DR, Paoli L, Salazar G, Ruscheweyh HJ, Cuenca M, Hingamp P, Alves R, Costea PI, Coelho LP, Schmidt TSB, Almeida A, Mitchell AL, Finn RD, Huerta-Cepas J, Bork P, Zeller G, Sunagawa S.","Nat Commun. 2019 Mar 4;10(1):1014. doi: 10.1038/s41467-019-08844-4.","Milanese A","Nat Commun","2019","2019/03/06","PMC6399450","","10.1038/s41467-019-08844-4"
"31522876","Modeling larval dispersal for the gilthead seabream in the northwestern Mediterranean Sea","Lett C, Barrier N, Ourmières Y, Petit C, Labonne M, Bourjea J, Darnaude AM.","Mar Environ Res. 2019 Dec;152:104781. doi: 10.1016/j.marenvres.2019.104781. Epub 2019 Sep 6.","Lett C","Mar Environ Res","2019","2019/09/17","","","10.1016/j.marenvres.2019.104781"
"31791776","Humic extracts of hydrochar and Amazonian Dark Earth: Molecular characteristics and effects on maize seed germination","Bento LR, Melo CA, Ferreira OP, Moreira AB, Mounier S, Piccolo A, Spaccini R, Bisinoti MC.","Sci Total Environ. 2020 Mar 15;708:135000. doi: 10.1016/j.scitotenv.2019.135000. Epub 2019 Nov 2.","Bento LR","Sci Total Environ","2020","2019/12/04","","","10.1016/j.scitotenv.2019.135000"
"30720749","Analysing Cooking Behaviour in Home Settings: Towards Health Monitoring","Yordanova K, Lüdtke S, Whitehouse S, Krüger F, Paiement A, Mirmehdi M, Craddock I, Kirste T.","Sensors (Basel). 2019 Feb 4;19(3):646. doi: 10.3390/s19030646.","Yordanova K","Sensors (Basel)","2019","2019/02/06","PMC6387167","","10.3390/s19030646"
"30807595","Behavioural responses of humpback whales to food-related chemical stimuli","Bouchard B, Barnagaud JY, Poupard M, Glotin H, Gauffier P, Torres Ortiz S, Lisney TJ, Campagna S, Rasmussen M, Célérier A.","PLoS One. 2019 Feb 26;14(2):e0212515. doi: 10.1371/journal.pone.0212515. eCollection 2019.","Bouchard B","PLoS One","2019","2019/02/27","PMC6391047","","10.1371/journal.pone.0212515"
"31505358","Kinetic processes of copper and lead remobilization during sediment resuspension of marine polluted sediments","Dang DH, Layglon N, Ferretto N, Omanović D, Mullot JU, Lenoble V, Mounier S, Garnier C.","Sci Total Environ. 2020 Jan 1;698:134120. doi: 10.1016/j.scitotenv.2019.134120. Epub 2019 Aug 29.","Dang DH","Sci Total Environ","2020","2019/09/11","","","10.1016/j.scitotenv.2019.134120"
