PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Laatikainen, Markku; Branger, Catherine; Laatikainen, Katri; Sainio, Tuomo								Ion exchange of lanthanides with conventional and ion-imprinted resins containing sulfonic or iminodiacetic acid groups								SEPARATION SCIENCE AND TECHNOLOGY				56	1			203	216		10.1080/01496395.2019.1708938			JAN 2 2021	2021	Ion exchange equilibria of samarium, dysprosium, and erbium were measured in conventional and ion-imprinted resins containing sulfonic acid groups or iminodiacetic acid (ida) groups in H,H-form and partially neutralized H,Na-form. The ion-imprinted resins were prepared by copolymerization of complexes prepared from Er3+. Conventional resins have low selectivity because electrostatic interactions are dominant even for the ida resin. In ion imprinting, the complex structure formed a priori in bulk solution was retained in the resin and coordinative interactions became more prominent. As a result, the selectivity coefficient K-Sm(Er) increased from 1.0 of the conventional resin to 3.5 of the imprinted resin.		[Laatikainen, Markku; Laatikainen, Katri; Sainio, Tuomo] LUT Univ, Sch Engn Sci, Yliopistonkatu 34, Lappeenranta 53850, Finland; [Branger, Catherine] Univ Toulon & Var, Lab MAPIEM, Toulon, France; [Laatikainen, Markku] LUT Univ, Sch Engn Sci, Yliopistonkatu 34, Lappeenranta 53850, Finland								1							Chemistry, Multidisciplinary; Engineering, Chemical	WOS:000504530300001		
J	Legras, Gaelle; Loiseau, Nicolas; Gaertner, Jean-Claude; Poggiale, Jean-Christophe; Ienco, Dino; Mazouni, Nabila; Merigot, Bastien								Assessment of congruence between co-occurrence and functional networks: A new framework for revealing community assembly rules								SCIENTIFIC REPORTS				9						19996	10.1038/s41598-019-56515-7			DEC 27 2019	2019	Describing how communities change over space and time is crucial to better understand and predict the functioning of ecosystems. We propose a new methodological framework, based on network theory and modularity concept, to determine which type of mechanisms (i.e. deterministic versus stochastic processes) has the strongest influence on structuring communities. This framework is based on the computation and comparison of two networks: the co-occurrence (based on species abundances) and the functional networks (based on the species traits values). In this way we can assess whether the species belonging to a given functional group also belong to the same co-occurrence group. We adapted the Dg index of Gauzens et al. (2015) to analyze congruence between both networks. This offers the opportunity to identify which assembly rule(s) play(s) the major role in structuring the community. We illustrate our framework with two datasets corresponding to different faunal groups and ecosystems, and characterized by different scales (spatial and temporal scales). By considering both species abundance and multiple functional traits, our framework improves significantly the ability to discriminate the main assembly rules structuring the communities. This point is critical not only to understand community structuring but also its response to global changes and other disturbances.		[Legras, Gaelle; Mazouni, Nabila] Univ Polynesie Francaise, IFREMER, Ilm, Ird,Eio,Umr 241, Tahiti, French Polynesi, France; [Loiseau, Nicolas; Merigot, Bastien] Univ Montpellier, MARBEC, CNRS, IFREMER,IRD, Sete, France; [Loiseau, Nicolas] Univ Savoie Mt Blanc, Univ Grenoble Alpes, CNRS, LECA,Lab Ecol Alpine, F-38000 Grenoble, France; [Gaertner, Jean-Claude] Ctr IRD Tahiti, IRD, EIO, UPF,IFREMER,ILM,UMR 241, F-98713 Papeete, French Polynesi, France; [Poggiale, Jean-Christophe] Univ Toulon & Var, Aix Marseille Univ, CNRS, IRD,INSU,MIO,UM 110, F-13288 Marseille, France; [Ienco, Dino] IRSTEA Montpellier, UMR TETIS, F-34093 Montpellier, France; [Legras, Gaelle] Univ Polynesie Francaise, IFREMER, Ilm, Ird,Eio,Umr 241, Tahiti, French Polynesi, France								0							Multidisciplinary Sciences	WOS:000509314000005		
J	Beltako, K.; Cavassilas, N.; Lannoo, M.; Michelini, F.								Insights into the Charge Separation Dynamics in Photoexcited Molecular Junctions								JOURNAL OF PHYSICAL CHEMISTRY C				123	51			30885	30892		10.1021/acs.jpcc.9b10911			DEC 26 2019	2019	The transient dynamics of charge transfer induced by a femtosecond laser pulse at the donor-acceptor interface of molecular junctions is investigated by means of quantum transport calculations within the nonequilibrium Green's function formalism. Simulations are implemented from the wave function technique extended to include Coulombic interaction within the Hartree-Fock approximation. Exciton and charge-transfer states competitively impact the molecular hybridization and thus provoke a charge localization visible in the time-resolved density of states, which modifies the time-resolved photocurrent spectra. The dynamic nature of the exciton and charge-transfer state formation leads to the definition of a dynamic driving energy. Our findings suggest the need to reconsider the role of built- in molecular orbital offset for design and experimentation. Insights provided in this work will contribute to designing ultrafast molecular optoelectronics and improving ultrafast spectroscopy techniques.		[Beltako, K.; Cavassilas, N.; Lannoo, M.; Michelini, F.] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP,UMR 7334, F-13288 Marseille, France; [Beltako, K.] Okinawa Inst Sci & Technol Grad Univ, Onna, Okinawa 9040495, Japan; [Michelini, F.] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP,UMR 7334, F-13288 Marseille, France								3							Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary	WOS:000505632900015		
J	Joo, Balint; Karpie, Joseph; Orginos, Kostas; Radyushkin, Anatoly, V; Richards, David G.; Sufian, Raza Sabbir; Zafeiropoulos, Savvas								Pion valence structure from Ioffe-time parton pseudodistribution functions								PHYSICAL REVIEW D				100	11					114512	10.1103/PhysRevD.100.114512			DEC 18 2019	2019	We present a calculation of the pion valence quark distribution extracted using the formalism of reduced Ioffe-time pseudodistributions or more commonly known as pseudo-PDFs. Our calculation is carried out on two different 2 + 1 flavor QCD ensembles using the isotropic-clover fermion action, with lattice dimensions 24(3) x 64 and 32(3) x 96 at the lattice spacing of a = 0.127 fm, and with the quark mass equivalent to a pion mass of m(pi) similar or equal to 415 MeV. We incorporate several combinations of smeared-point and smeared-smeared pion source-sink interpolation fields in obtaining the lattice QCD matrix elements using the summation method. After one-loop perturbative matching and combining the pseudodistributions from these two ensembles, we extract the pion valence quark distribution using a phenomenological functional form motivated by the global fits of parton distribution functions. We also calculate the lowest four moments of the pion quark distribution through the "operator product expansion without operator product expansion." We present a qualitative comparison between our lattice QCD extraction of the pion valence quark distribution with that obtained from global fits and previous lattice QCD calculations.		[Joo, Balint; Orginos, Kostas; Radyushkin, Anatoly, V; Richards, David G.; Sufian, Raza Sabbir] Thomas Jefferson Natl Accelerator Facil, Newport News, VA 23606 USA; [Karpie, Joseph; Orginos, Kostas] Coll William & Mary, Phys Dept, Williamsburg, VA 23187 USA; [Karpie, Joseph] Columbia Univ, Dept Phys, 538 W 120th St, New York, NY 10027 USA; [Radyushkin, Anatoly, V] Old Dominion Univ, Dept Phys, Norfolk, VA 23529 USA; [Zafeiropoulos, Savvas] Heidelberg Univ, Inst Theoret Phys, Philosophenweg 12, D-69120 Heidelberg, Germany; [Zafeiropoulos, Savvas] Univ Toulon & Var, Aix Marseille Univ, CPT, CNRS, Marseille, France; [Joo, Balint] Thomas Jefferson Natl Accelerator Facil, Newport News, VA 23606 USA								34							Astronomy & Astrophysics; Physics, Particles & Fields	WOS:000503238500003		
J	Jin, B. J.; Novotny, A.								Weak-strong uniqueness for a bi-fluid model for a mixture of non-interacting compressible fluids								JOURNAL OF DIFFERENTIAL EQUATIONS				268	1			204	238		10.1016/j.jde.2019.08.025			DEC 15 2019	2019	We investigate a version of one velocity Baer-Nunziato type system with dissipation describing the motion of a mixture of two compressible fluids. We define for this system weak solutions on one hand and dissipative weak solutions on the other hand, and recall the theorem about their existence on a large time interval. We investigate strong solutions and show their existence on a short time interval. Finally, we prove that any weak solution satisfies a relative energy inequality and prove for this system the weak-strong uniqueness principle. This is the main result of the paper. (C) 2019 Elsevier Inc. All rights reserved.		[Jin, B. J.] Mokpo Natl Univ, Dept Math Educ, Muan 534729, South Korea; [Novotny, A.] Univ Toulon & Var, IMATH, EA 2134, BP 20132, F-83957 La Garde, France; [Novotny, A.] Univ Toulon & Var, IMATH, EA 2134, BP 20132, F-83957 La Garde, France								1							Mathematics	WOS:000489568700008		
J	Caby, Theophile; Faranda, Davide; Mantica, Giorgio; Vaienti, Sandro; Yiou, Pascal								Generalized dimensions, large deviations and the distribution of rare events								PHYSICA D-NONLINEAR PHENOMENA				400						132143	10.1016/j.physd.2019.06.009			DEC 15 2019	2019	Generalized dimensions of multifractal measures are usually seen as static objects, related to the scaling properties of suitable partition functions, or moments of measures of cells. When these measures are invariant for the flow of a chaotic dynamical system, generalized dimensions take on a dynamical meaning, as they provide the rate function for the large deviations of the first hitting time, which is the (average) time required to connect any two different regions in phase space. We prove this result rigorously under a set of stringent assumptions. As a consequence, the statistics of hitting times provides new algorithms for the computation of the spectrum of generalized dimensions. Numerical examples, presented along with the theory, suggest that the validity of this technique reaches far beyond the range covered by the theorem. We state our result within the framework of extreme value theory. This approach reveals that hitting times are also linked to dynamical indicators such as stability of the motion and local dimensions of the invariant measure. This suggests that one can use local dynamical indicators from finite time series to gather information on the multifractal spectrum of generalized dimension. We show an application of this technique to experimental data from climate dynamics. (C) 2019 Elsevier B.V. All rights reserved.		[Caby, Theophile; Mantica, Giorgio] Univ Insubria, Dipartimento Sci & Alta Tecnol, Ctr Nonlinear & Complex Syst, Como, Italy; [Caby, Theophile; Vaienti, Sandro] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13009 Marseille, France; [Faranda, Davide; Yiou, Pascal] IPSL, UVSQ, CNRS, UMR 8212,CEA,Lab Sci Climat & Environm, F-91191 Gif Sur Yvette, France; [Faranda, Davide; Yiou, Pascal] Univ Paris Saclay, F-91191 Gif Sur Yvette, France; [Faranda, Davide] London Math Lab, 8 Margravine Gardens, London W6 8RH, England; [Mantica, Giorgio] INFN, Sez Milano, Rome, Italy; [Mantica, Giorgio] Indam, Grp Nazl Fis Matemat, Rome, Italy; [Vaienti, Sandro] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13009 Marseille, France								4							Mathematics, Applied; Physics, Fluids & Plasmas; Physics, Multidisciplinary; Physics, Mathematical	WOS:000489354300009		
J	Sidorkin, A. S.; Nesterenko, L. P.; Gagou, Y.; Saint-Gregoire, P.; Vorotnikov, E. V.; Pakhomov, A. Yu; Popravko, N. G.								Repolarization of Ferroelectric Superlattices BaZrO3/BaTiO(3)A								SCIENTIFIC REPORTS				9						18948	10.1038/s41598-019-55475-2			DEC 12 2019	2019	With the use of the modified Sawyer-Tower scheme and Merz technique, studies were conducted on the repolarization characteristics of ferroelectric (BaZrO3/BaTiO3) superlattices on monocrystalline MgO substrate. Studies of temperature changes in the dielectric hysteresis loops indicated a sufficiently smooth decrease in spontaneous polarization compared with homogeneous barium titanate near the phase transition temperature of the superlattice. Experimental studies of switched currents have shown that the switching processes in the synthesized superlattices are implemented in two stages: activation motion ("creep" mode) and non-activation motion (slip mode). The presence of the activation switching stage and the numerical estimates show that with high probability, the movement of domain boundaries accomplishes the processes of switching in the studied superlattice. The threshold field separating the stated stages decreases with increasing temperature up to the Curie point of the superlattice, similar to the coercive field. Detection of the non-strictly exponential dependence of the switching current on the reverse field strength in the activation stage was modulated by the dependence with the power-law exponent for the applied electric field. Both techniques indicate that the studied superlattices have a small internal displacement field directed from the superlattice to the substrate.		[Sidorkin, A. S.; Nesterenko, L. P.; Vorotnikov, E. V.; Pakhomov, A. Yu; Popravko, N. G.] Voronezh State Univ, Phys Dept, Univ Sq 1, Voronezh 394018, Russia; [Gagou, Y.] Univ Picardie JulesVerne, Lab Phys Matiere Condensee, F-80039 Amiens, France; [Saint-Gregoire, P.] Univ Toulon & Var, UFR Sci & Tech, F-83041 Toulon, France; [Saint-Gregoire, P.] Univ Nimes, Sci & Arts, F-30021 Nimes, France; [Sidorkin, A. S.] Voronezh State Univ, Phys Dept, Univ Sq 1, Voronezh 394018, Russia								2							Multidisciplinary Sciences	WOS:000503042100001		
J	Bollani, Monica; Salvalaglio, Marco; Benali, Abdennacer; Bouabdellaoui, Mohammed; Naffouti, Meher; Lodari, Mario; Di Corato, Stefano; Fedorov, Alexey; Voigt, Axel; Fraj, Ibtissem; Favre, Luc; Claude, Jean Benoit; Grosso, David; Nicotra, Giuseppe; Mio, Antonio; Ronda, Antoine; Berbezier, Isabelle; Abbarchi, Marco								Templated dewetting of single-crystal sub-millimeter-long nanowires and on-chip silicon circuits								NATURE COMMUNICATIONS				10						5632	10.1038/s41467-019-13371-3			DEC 10 2019	2019	Large-scale, defect-free, micro- and nano-circuits with controlled inter-connections represent the nexus between electronic and photonic components. However, their fabrication over large scales often requires demanding procedures that are hardly scalable. Here we synthesize arrays of parallel ultra-long (up to 0.75 mm), monocrystalline, silicon-based nano-wires and complex, connected circuits exploiting low-resolution etching and annealing of thin silicon films on insulator. Phase field simulations reveal that crystal faceting and stabilization of the wires against breaking is due to surface energy anisotropy. Wires splitting, inter-connections and direction are independently managed by engineering the dewetting fronts and exploiting the spontaneous formation of kinks. Finally, we fabricate field-effect transistors with state-of-the-art trans-conductance and electron mobility. Beyond the first experimental evidence of controlled dewetting of patches featuring a record aspect ratio of similar to 1/60000 and self-assembled similar to mm long nano-wires, our method constitutes a distinct and promising approach for the deterministic implementation of atomically-smooth, mono-crystalline electronic and photonic circuits.		[Bollani, Monica; Lodari, Mario; Di Corato, Stefano; Fedorov, Alexey] CNR, Ist Foton & Nanotecnol, LNESS, Via Anzani 42, I-22100 Como, Italy; [Salvalaglio, Marco; Voigt, Axel] Tech Univ Dresden, Inst Sci Comp, D-01062 Dresden, Germany; [Benali, Abdennacer; Bouabdellaoui, Mohammed; Naffouti, Meher; Fraj, Ibtissem; Favre, Luc; Claude, Jean Benoit; Grosso, David; Ronda, Antoine; Berbezier, Isabelle; Abbarchi, Marco] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP, Marseille, France; [Bouabdellaoui, Mohammed] Hassan II Univ Casablanca, Fac Sci & Technol, Lab Phys Condensed Matter & Renewable Energy, 146 Mohammedia, Casablanca, Morocco; [Naffouti, Meher; Fraj, Ibtissem] Univ Monastir, Fac Sci Monastir, Lab Micro Optoelect & Nanostruct, Monastir 5019, Tunisia; [Voigt, Axel] Tech Univ Dresden, Dresden Ctr Computat Mat Sci, D-01062 Dresden, Germany; [Nicotra, Giuseppe; Mio, Antonio] CNR, IMM, Zona Ind Str 8,5, I-95121 Catania, Italy; [Bollani, Monica] CNR, Ist Foton & Nanotecnol, LNESS, Via Anzani 42, I-22100 Como, Italy; [Salvalaglio, Marco] Tech Univ Dresden, Inst Sci Comp, D-01062 Dresden, Germany; [Abbarchi, Marco] Univ Toulon & Var, Aix Marseille Univ, CNRS, IM2NP, Marseille, France								11							Multidisciplinary Sciences	WOS:000502086800001		
J	Orquera, Myriam; Campocasso, Sebastien; Millet, Dominique								Some principles to optimise an additively manufactured multi-component product								JOURNAL OF ENGINEERING DESIGN				31	4			219	240		10.1080/09544828.2019.1699034			APR 2 2020	2020	Depending on the requirements, the design of a product may result in very different solutions. Topological optimisation is a mathematical tool that can be used to obtain lighter parts without decreasing their stiffness. As the optimised part shapes are often too complex to be manufacturable, additive manufacturing is generally used. Usually, the topological optimisation is performed on a single part. However, for a product, the decreasing of mass and inertia in each individual part has an impact on the loads applied onto all the parts of the system. Moreover, different paths can be used to optimise a product, e.g. optimising all the parts simultaneously or part after part. Therefore, the aim of this paper is to propose, based on a case study, some optimisation principles to find the best optimisation path to design an additively manufactured product. In order to do this, the concept of topological optimisation loops is first proposed. Then, several optimisation paths are compared. In comparison with a usual single topological optimisation, the proposed method leads to an additional gain in mass of up to 35% for the case study. Finally, some optimisation principles are suggested to choose the most adapted path according to the designer objectives.		[Orquera, Myriam; Campocasso, Sebastien; Millet, Dominique] Univ Toulon & Var, COSMER, Toulon, France; [Orquera, Myriam] Univ Toulon & Var, COSMER, Toulon, France								1							Engineering, Multidisciplinary	WOS:000501035800001		
J	Rovelli, Carlo								Neither Presentism nor Eternalism								FOUNDATIONS OF PHYSICS				49	12			1325	1335		10.1007/s10701-019-00312-9			DEC 2019	2019	Is reality three-dimensional and becoming real (Presentism), or is reality four-dimensional and becoming illusory (Eternalism)? Both options raise difficulties. I argue that we do not need to be trapped by this dilemma. There is a third possibility: reality has a more complex temporal structure than either of these two naive options. Fundamental becoming is real, but local and unoriented. A notion of present is well defined, but only locally and in the context of approximations.		[Rovelli, Carlo] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France; [Rovelli, Carlo] Perimeter Inst, 31 Caroline St North, Waterloo, ON N2L 2Y5, Canada; [Rovelli, Carlo] Rotman Inst Philosophy, 1151 Richmond St, London, ON N6A 5B7, Canada; [Rovelli, Carlo] Univ Toulon & Var, Aix Marseille Univ, CNRS, CPT, F-13288 Marseille, France; [Rovelli, Carlo] Perimeter Inst, 31 Caroline St North, Waterloo, ON N2L 2Y5, Canada; [Rovelli, Carlo] Rotman Inst Philosophy, 1151 Richmond St, London, ON N6A 5B7, Canada								2							Physics, Multidisciplinary	WOS:000518539200001		
